AnimLoopFileID,graphicPath,,AnimNotLoopFileID,graphicPath
0,"""graphics/player/idle_right""",,0,"""graphics/player/touchdown_right"""
1,"""graphics/player/idle_left""",,1,"""graphics/player/touchdown_left"""
2,"""graphics/player/walk_right""",,2,"""graphics/player/attack_right"""
3,"""graphics/player/walk_left""",,3,"""graphics/player/attack_left"""
4,"""graphics/player/run_right""",,4,"""graphics/player/fire_right"""
5,"""graphics/player/run_left""",,5,"""graphics/player/fire_left"""
6,"""graphics/player/jump_right""",,6,"""graphics/player/beam_right"""
7,"""graphics/player/jump_left""",,7,"""graphics/player/beam_left"""
8,"""graphics/slim/blue/idle_right""",,8,"""graphics/slim/blue/attack_right"""
9,"""graphics/slim/blue/idle_left""",,9,"""graphics/slim/blue/attack_left"""
10,"""graphics/slim/blue/move_right""",,10,"""graphics/slim/red/attack_right"""
11,"""graphics/slim/blue/move_left""",,11,"""graphics/slim/red/attack_left"""
12,"""graphics/slim/red/idle_right""",,12,"""graphics/plant/red/attack"""
13,"""graphics/slim/red/idle_left""",,13,"""graphics/plant/purple/attack"""
14,"""graphics/slim/red/move_right""",,14,"""graphics/bird/green/attack"""
15,"""graphics/slim/red/move_left""",,15,"""graphics/bird/blue/attack"""
16,"""graphics/plant/red/idle""",,16,
17,"""graphics/plant/purple/idle""",,17,
18,"""graphics/bird/green/move""",,18,
19,"""graphics/bird/blue/move""",,19,
20,,,20,
21,,,21,
22,,,22,
23,,,23,
24,,,24,
25,,,25,
26,,,26,
27,,,27,
28,,,28,
29,,,29,
30,,,30,
31,,,31,
32,,,32,
33,,,33,
34,,,34,
35,,,35,
36,,,36,
37,,,37,
38,,,38,
39,,,39,
40,,,40,
41,,,41,
42,,,42,
43,,,43,
44,,,44,
45,,,45,
46,,,46,
47,,,47,
48,,,48,
49,,,49,
50,,,50,
51,,,51,
52,,,52,
53,,,53,
54,,,54,
55,,,55,
56,,,56,
57,,,57,
58,,,58,
59,,,59,
60,,,60,
